product_name,brand_name,rating,rating_count,marked_price,discounted_price,sizes,product_link,img_link,product_tag,brand_tag,discount_amount,discount_percent
Women Printed Kurta with Skirt,saubhagya,3.7,42,3999,1299,"S,M,L,XL,XXL",kurta-sets/saubhagya/saubhagya-women-burgundy-ethnic-motifs-printed-kurta-with-skirt/17755344/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17755344/2022/4/5/b79d6f2f-f8e4-46b8-92d4-a00b4f5fdd4a1649154118331saubhagyaWomenBurgundyEthnicMotifsEmbroideredLayeredKurtawit1.jpg",kurta-sets,saubhagya,2700,67
Solid Round Neck T-shirt,Tokyo Talkies,4.3,453,749,374,"S,M,L,XL",tshirts/tokyo-talkies/tokyo-talkies-women-green-solid-round-neck-t-shirt/14195884/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/14195884/2021/4/27/20d2f471-2a82-4f0b-84cc-38da306b04821619499800126TokyoTalkiesWomenGreenSolidV-NeckT-shirt1.jpg",tshirts,tokyo-talkies,375,50
Checked Casual Shirt,United Colors of Benetton,0,0,2999,2099,"38,40,42,44,46",shirts/united-colors-of-benetton/united-colors-of-benetton-men-sea-green-tartan-checks-checked-casual-shirt/18227444/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18227444/2022/5/11/1633b87e-42fd-43f0-b6a9-6c022bb3f71f1652252060255UnitedColorsofBenettonMenGreenTartanChecksCheckedCasualShirt1.jpg",shirts,united-colors-of-benetton,900,30
Striped Block Sandals,Metro,4.6,7,1690,1183,"EURO36,EURO37,EURO38,EURO39,EURO40,EURO41",heels/metro/metro-pink-striped-block-sandals/18091446/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18091446/2022/4/29/49a64dd9-3153-4f2f-a17b-51972afa9f641651229002470MetroPinkStripedBlockSandals1.jpg",heels,metro,507,30
Men Jogger Jeans,WROGN,4,96,2599,1429,"28,30,32,34,36",jeans/wrogn/wrogn-men-blue-jogger-mid-rise-clean-look-stretchable-jeans/11560462/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11560462/2021/3/25/a403641a-b032-445a-85bb-18e71b48cd0a1616651189561-WROGN-Men-Blue-Jogger-Mid-Rise-Clean-Look-Stretchable-Jeans--1.jpg",jeans,wrogn,1170,45
Slim Fit Checked Casual Shirt,Moda Rapido,4.6,12,1899,1044,"38,40,42,44,46",shirts/moda-rapido/moda-rapido-men-black-slim-fit-checked-casual-shirt/16877192/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16877192/2022/3/16/6e363e7a-bd86-473e-8324-92ddd4dbc1411647432319472-Moda-Rapido-Men-Shirts-7371647432319044-1.jpg",shirts,moda-rapido,855,45
Restful Moon Body Lotion-192ml,Bath & Body Works,0,0,1399,699,180-200 ML,body-lotion/bath--body-works/bath--body-works-restful-moon-moisturizing-body-lotion---192-ml/17052210/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17052210/2022/5/18/9cffe785-b60f-496b-a588-54b9f66659181652874034029-Bath--Body-Works-Restful-Moon-Moisturizing-Body-Lotion---192-1.jpg",body-lotion,bath--body-works,700,50
Dress,URBANIC,0,0,1490,1266,"S,M,L,XL",dresses/urbanic/urbanic-red-dress/18500350/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18500350/2022/5/30/12e2a516-488d-415e-ac63-7dc872467e6a1653891567091URBANICRedDress1.jpg",dresses,urbanic,224,15
Slim Fit Casual Shirt,HIGHLANDER,3.7,89,1399,531,"39,40,42,44",shirts/highlander/highlander-men-blue-slim-fit-solid-casual-shirt/13842392/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2021/3/10/3b1752aa-5e13-4fdf-9645-dd9db7f1688e1615358088426-1.jpg",shirts,highlander,868,62
Men Textured Loafers,Sir Corbett,4.1,456,2699,809,"UK6,UK7,UK8,UK9,UK10,UK11,UK12",casual-shoes/sir-corbett/sir-corbett-men-navy-blue-textured-loafers/9966821/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/9966821/2021/11/18/61aa05ef-8fd1-4dfc-9bf4-5ef5a2e6162a1637245379292-Sir-Corbett-Men-Navy-Blue-Textured-Loafers-2451637245379232-18.jpg",casual-shoes,sir-corbett,1890,70
Essential Brand Logo T-shirt,bebe,3.8,6,999,699,"XS,S,M,L,XL",tshirts/bebe/bebe-women-egret-essential-brand-logo-printed-sleeveless-t-shirt-with-beads-detail/17646094/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17646094/2022/4/21/9f4151f2-5b20-4fb7-a53b-bbfdcd20fea31650541318494-bebe-Women-Tshirts-6161650541317849-1.jpg",tshirts,bebe,300,30
Georgette Midi Dress,HELLO DESIGN,5,3,1999,859,"S,M,L,XL,XXL",dresses/hello-design/hello-design-black-georgette-midi-dress/17758080/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17758080/2022/4/5/82a76a37-d326-4029-9497-cef53291b93a1649097227603HELLODESIGNBlackGeorgetteMidiDress1.jpg",dresses,hello-design,1140,57
Men Slim Fit Mid-Rise Jeans,Flying Machine,0,0,2399,1559,"30,32,34,36,38",jeans/flying-machine/flying-machine-men-blue-michael-slim-tapered-fit-mid-rise-heavy-fade-stretchable-jeans/16746768/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16746768/2022/2/3/b6a8590c-03f6-4b2c-a018-99a7711d531b1643869439908-Flying-Machine-Men-Blue-Michael-Slim-Tapered-Fit-Mid-Rise-He-1.jpg",jeans,flying-machine,840,35
Men Nubuck Derbys,Woodland,4.5,33,3495,2796,UK11,casual-shoes/woodland/woodland-men-navy-blue-nubuck-derbys/8451905/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/8451905/2021/2/9/229cdcc2-5ba9-44a8-bff0-4ae66641251d1612859623390-Woodland-Men-Navy-Blue-Nubuck-Derbys-8851612859622247-1.jpg",casual-shoes,woodland,699,20
Women Colourblocked Sheath Tie-Up Neck Dress,FableStreet,4.1,7,2895,2895,"XS,S,M,L,XL,XXL",dresses/fablestreet/fablestreet-women-black--white-colourblocked-tie-up-neck-formal-sheath-dress/17519308/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17519308/2022/3/14/b46aff61-0748-4d6e-a3fb-565470225c811647261770009FableStreetBlackFormalA-LineDress1.jpg",dresses,fablestreet,0,0
Women Printed Mojaris,Shoetopia,4.2,92,999,599,"EURO36,EURO37,EURO38,EURO39,EURO40,EURO41",flats/shoetopia/shoetopia-women-pink-printed-mojaris/15682040/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15682040/2021/10/11/8742f770-2a24-442f-8f26-a5bf77fd04db1633935465965-Shoetopia-Women-Pink-Printed-Mojaris-8871633935465873-7.jpg",flats,shoetopia,400,40
Girls Printed Night suit,Ed-a-Mamma,4.7,6,899,809,"2-3Y,3-4Y,4-5Y,5-6Y,6-7Y,7-8Y,8-9Y,9-10Y",night-suits/ed-a-mamma/ed-a-mamma-girls-peach-coloured-printed-pure-cotton-night-suit/15992578/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15992578/2021/11/2/1c312f52-48eb-470b-a0bb-9d26cb084b4a1635864263290Ed-a-MammaGirlsPeachGraphic1.jpg",night-suits,ed-a-mamma,90,10
Print Chiffon Top,aarke Ritu Kumar,4.3,8,2800,2800,"S,M,L,XL",tops/aarke-ritu-kumar/aarke-ritu-kumar-pink-printed-chiffon-top-with-camisole/17777104/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17777104/2022/4/18/719ca666-7bc1-468b-bf7a-85a588a317f61650278881699-aarke-Ritu-Kumar-Women-Tops-41650278881220-1.jpg",tops,aarke-ritu-kumar,0,0
Women Solid Trousers,MANGO,3.8,5,4590,4590,"26,28,30,32,34,36",trousers/mango/mango-women-black-solid-wide-leg-trousers/16892388/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16892388/2022/3/17/7607c5d4-4c19-439e-baa1-be29bfc4fd9e1647509512455-MANGO-Women-Trousers-6081647509512224-1.jpg",trousers,mango,0,0
Kids Pack Of 3 Thermal Sets,MANZON,3.9,138,1999,919,"3-4Y,4-5Y,5-6Y,6-7Y,7-8Y,8-9Y,9-10Y,10-11Y,11-12Y,12-13Y,13-14Y,14-15Y,15-16Y",thermal-set/manzon/manzon-kids-pack-of-3-multicoloured-solid-thermal-sets/16003708/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16003708/2021/11/29/c4c2b2f4-6e55-4012-b315-434a9e8190ee1638189390670-MANZON-Unisex-Kids-Thermal-Set-8121638189389733-1.jpg",thermal-set,manzon,1080,54
Women Fantasy Highlighter Blusher & Bronzer Face Palette,MARS,4.6,56,299,299,10-20 ML,highlighter-and-blush/mars/mars-women-fantasy-highlighter-blusher--bronzer-face-palette/16668994/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16668994/2022/1/3/6aa085aa-8ac3-43ec-a592-7140c4fb63ec1641224712155HighlighterandBlush1.jpg",highlighter-and-blush,mars,0,0
Training Rapid-Dry Tshirts,HRX by Hrithik Roshan,0,0,1099,769,"S,M,L,XL,XXL",tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-training-men-ai-aqua-rapid-dry-typography-tshirts/17861292/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17861292/2022/5/5/0a67dfe3-f21f-4141-aed4-7283037129cc1651736358900-HRX-by-Hrithik-Roshan-Men-Tshirts-1681651736358486-1.jpg",tshirts,hrx-by-hrithik-roshan,330,30
Men Branding Joggers,United Colors of Benetton,0,0,1649,1154,"S,M,L,XL",track-pants/united-colors-of-benetton/united-colors-of-benetton-men-green-branding-joggers/17565650/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17565650/2022/5/12/d10f48e0-3d74-4d63-9c30-bdb8f26d293c1652336080460-United-Colors-of-Benetton-Men-Green-Branding-Joggers-3471652-1.jpg",track-pants,united-colors-of-benetton,495,30
Men Regular Running Shoes,ASIAN,2.6,7,999,649,"UK6,UK7,UK8,UK9,UK10,UK11,UK12",sports-shoes/asian/asian-men-black-prime-02-mesh-regular-running-shoes/17665752/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17665752/2022/3/29/fc8722b6-2b36-44c0-aec3-1259fc2996711648531421518ASIANMenBlackSportsShoes1.jpg",sports-shoes,asian,350,35
Printed Round Neck T-shirt,Huetrap,3.9,214,1399,489,"XS,S,M,L,XL,XXL",tshirts/huetrap/huetrap-women-white-printed-round-neck-t-shirt/2330729/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2330729/2017/12/13/11513148273667-na-1181513148273520-1.jpg",tshirts,huetrap,910,65
300TC Bedsheet & Pillow Covers,Story@home,4.1,48,3999,2199,Double King,bedsheets/storyhome/storyhome-teal--black-geometric-300-tc-king-bedsheet-with-2-pillow-covers/14538504/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/14538504/2022/4/7/9c35eb7c-857c-4ccc-b151-4d3e123a380c1649330699823StoryhomeTealBlackGeometric300TCKingBedsheetwith2PillowCover1.jpg",bedsheets,storyhome,1800,45
Women Solid Trousers,Marks & Spencer,4.3,10,3499,3324,"26,28,30,32,34,36",trousers/marks--spencer/marks--spencer-women-charcoal-grey-solid-trousers/17185208/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17185208/2022/3/25/f60496a9-6d1d-49bc-964b-1c7722068c6f1648180412545-Marks--Spencer-Women-Trousers-621648180411882-1.jpg",trousers,marks--spencer,175,5
Women Fantasy Highlighter Blusher & Bronzer Face Palette,MARS,4.6,56,299,299,10-20 ML,highlighter-and-blush/mars/mars-women-fantasy-highlighter-blusher--bronzer-face-palette/16668994/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16668994/2022/1/3/6aa085aa-8ac3-43ec-a592-7140c4fb63ec1641224712155HighlighterandBlush1.jpg",highlighter-and-blush,mars,0,0
Training Rapid-Dry Tshirts,HRX by Hrithik Roshan,0,0,1099,769,"S,M,L,XL,XXL",tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-training-men-ai-aqua-rapid-dry-typography-tshirts/17861292/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17861292/2022/5/5/0a67dfe3-f21f-4141-aed4-7283037129cc1651736358900-HRX-by-Hrithik-Roshan-Men-Tshirts-1681651736358486-1.jpg",tshirts,hrx-by-hrithik-roshan,330,30
Men Branding Joggers,United Colors of Benetton,0,0,1649,1154,"S,M,L,XL",track-pants/united-colors-of-benetton/united-colors-of-benetton-men-green-branding-joggers/17565650/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17565650/2022/5/12/d10f48e0-3d74-4d63-9c30-bdb8f26d293c1652336080460-United-Colors-of-Benetton-Men-Green-Branding-Joggers-3471652-1.jpg",track-pants,united-colors-of-benetton,495,30
Men Regular Running Shoes,ASIAN,2.6,7,999,649,"UK6,UK7,UK8,UK9,UK10,UK11,UK12",sports-shoes/asian/asian-men-black-prime-02-mesh-regular-running-shoes/17665752/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17665752/2022/3/29/fc8722b6-2b36-44c0-aec3-1259fc2996711648531421518ASIANMenBlackSportsShoes1.jpg",sports-shoes,asian,350,35
Printed Round Neck T-shirt,Huetrap,3.9,214,1399,489,"XS,S,M,L,XL,XXL",tshirts/huetrap/huetrap-women-white-printed-round-neck-t-shirt/2330729/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2330729/2017/12/13/11513148273667-na-1181513148273520-1.jpg",tshirts,huetrap,910,65
300TC Bedsheet & Pillow Covers,Story@home,4.1,48,3999,2199,Double King,bedsheets/storyhome/storyhome-teal--black-geometric-300-tc-king-bedsheet-with-2-pillow-covers/14538504/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/14538504/2022/4/7/9c35eb7c-857c-4ccc-b151-4d3e123a380c1649330699823StoryhomeTealBlackGeometric300TCKingBedsheetwith2PillowCover1.jpg",bedsheets,storyhome,1800,45
Women Solid Trousers,Marks & Spencer,4.3,10,3499,3324,"26,28,30,32,34,36",trousers/marks--spencer/marks--spencer-women-charcoal-grey-solid-trousers/17185208/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17185208/2022/3/25/f60496a9-6d1d-49bc-964b-1c7722068c6f1648180412545-Marks--Spencer-Women-Trousers-621648180411882-1.jpg",trousers,marks--spencer,175,5
Pack of 3 Assorted Bikini,Jockey,4.1,654,498,498,"S,M,L",briefs/jockey/jockey-women-pack-of-3-assorted-bikini-briefs-1410-0310-lastd/13975632/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13975632/2021/4/28/4fe1156f-9ef2-4be8-8739-ebdff0854fad1619594512611-Jockey-Women-Assorted-Pack-of-3-Bikini-Briefs-1410-0310-LAST-1.jpg",briefs,jockey,0,0
Women Loose Sports T-shirt,UNDER ARMOUR,0,0,1999,1999,"XS,S,M,L,XL",tshirts/under-armour/under-armour-women-pink-brand-logo-print-loose-sport-t-shirt/17579394/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17579394/2022/4/29/b8b7bb27-1596-4534-b868-6341ce1ade3e1651211217991TechTwistScriptLogoSSC1.jpg",tshirts,under-armour,0,0
Women Open Toe Flats,Metro,0,0,1690,1183,"EURO36,EURO37,EURO38,EURO39,EURO40,EURO41",flats/metro/metro-women-pink-open-toe-flats/18324520/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18324520/2022/5/19/b6e7d048-27db-4021-b424-116b143363901652936365089MetroWomenPinkOpenToeFlats1.jpg",flats,metro,507,30
Men Slim Fit Jeans,Duke,0,0,2499,1749,"30,32,34,36,38",jeans/duke/duke-men-blue-slim-fit-light-fade-stretchable-jeans/18000302/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18000302/2022/4/22/2ebde178-2d5b-4df6-bf79-c701d60768a81650634778945DukeMenBlueSlimFitLightFadeStretchableJeans1.jpg",jeans,duke,750,30
Men Slim Tapered Fit Jeans,Roadster,4.3,8,2699,1619,"28,30,32,34,36",jeans/roadster/roadster-men-navy-blue-slim-tapered-fit-light-fade-stretchable-jeans/17399770/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17399770/2022/4/12/0b9a5615-95a8-425f-9dab-e11c274c99bb1649760265694-Roadster-Men-Jeans-9631649760265052-1.jpg",jeans,roadster,1080,40
Mattifying Face Toner 120 ml,Biotique,4.4,2200,220,220,120-140 ML,toner/biotique/biotique-advanced-organics-tea-tree-skin-clearing-mattifying-face-toner-120-ml/12678938/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/12678938/2021/8/11/33fecb96-a3e0-4175-920b-112f5da8fbba1628671254428BiotiqueAdvancedOrganicsTeaTreeSkinClearingMattifyingFaceTon1.jpg",toner,biotique,0,0
Women Printed Palazzos,Miaz Lifestyle,0,0,999,599,"28,30,32,34,36,38,40",palazzos/miaz-lifestyle/miaz-lifestyle-women-white--gold-toned-ethnic-motifs-printed-palazzos/18151788/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18151788/2022/5/5/662ac263-ce59-45ea-ad79-18333659d0451651740628189MiazLifestyleWomenWhitePalazzos1.jpg",palazzos,miaz-lifestyle,400,40
Women Cut-out Top,H&M,4.5,10,999,999,"XXS,XS,S,M,L,XL",tops/hm/hm-women-orange-lacing-detail-cut-out-crop-top/17883598/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17883598/2022/4/14/b70f7912-cec1-4c7b-aaf9-e06429e7e1461649904820194Lacing-detailcut-outtop1.jpg",tops,hm,0,0
Quilted Handheld Bag,Lino Perros,4.6,309,4495,1663,Onesize,handbags/lino-perros/lino-perros-pink-quilted-handheld-bag/8376989/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/8376989/2019/1/9/27bf2ac8-ddb7-4df0-8618-bfd600fb32661547016414086-Lino-Perros-Pink-Leatherette-Handbag-6251547016412365-1.jpg",handbags,lino-perros,2832,63
Solid A-Line Midi Dress,DressBerry,0,0,1899,759,"XS,S,M,L,XL",dresses/dressberry/dressberry-women-green-solid-a-line-midi-dress/16183872/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16183872/2022/6/4/dec66d7e-8181-4529-8989-5e81cda9ac711654329053470-DressBerry-Green-A-Line-Midi-Dress-9361654329053030-1.jpg",dresses,dressberry,1140,60
Abstract Sleeveless Top,La Aimee,0,0,1199,839,"S,M,L,XL,XXL,3XL,4XL,5XL",tops/la-aimee/la-aimee-women-stylish-black-abstract-sleeveless-top/17728586/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17728586/2022/4/1/15371bad-e966-4b64-bbba-964bf2fee3461648816158248LaAimeeBlackPrintTop1.jpg",tops,la-aimee,360,30
Men Espadrilles,FRATERNITY,0,0,2199,999,"UK6,UK7,UK8,UK9,UK10,UK11",casual-shoes/fraternity/fraternity-men-black-espadrilles/18596950/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18596950/2022/6/3/54590a39-07be-4ad2-97ef-d8d4b98e47a61654274752794FRATERNITYMenBlackEspadrilles1.jpg",casual-shoes,fraternity,1200,54
Grand Finale Dewy Setting Mist,SUGAR,4.4,594,699,699,Onesize,foundation-and-primer/sugar/sugar-grand-finale-dewy-setting-mist---50-ml/12468510/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/12468510/2022/4/25/ac4edcd7-42d3-43e5-a6cb-ffeb9981f2ea1650869496274SUGARGrandFinaleDewySettingMist-50ml1.jpg",foundation-and-primer,sugar,0,0
Men Running Shoes,OFF LIMITS,0,0,1999,1279,"UK6,UK7,UK8,UK9",sports-shoes/off-limits/off-limits-men-white-ashwa-ii-running-non-marking-shoes/16285432/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16285432/2022/4/28/08c72b69-dd19-485c-a5cf-4c2cf9783fb01651127654443OFFLIMITSMenWhiteASHWAIIRunningNon-MarkingShoes1.jpg",sports-shoes,off-limits,720,36
Printed Cardigan Sweater,Rigo,3.3,90,1499,479,"M,L,XL",sweaters/rigo/rigo-men-charcoal-printed-cardigan-sweater/12652168/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2020/10/3/53114715-6f8b-423f-8ae2-36f6b54ceec41601682453004-1.jpg",sweaters,rigo,1020,68
Zip Detail Three Fold Wallet,Baggit,4.5,89,890,560,S,wallets/baggit/baggit-women-dark-beige--grey-solid-zip-detail-three-fold-wallet/16692460/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16692460/2022/3/30/4f9d3278-6d61-4660-b5eb-faa2d80b96d21648617784882-Baggit-Women-Dark-Beige--Grey-Solid-Zip-Detail-Three-Fold-Wa-1.jpg",wallets,baggit,330,37
Bodycon Dress,Ginger by Lifestyle,0,0,1299,1299,"XS,S,M,L,XL",dresses/ginger-by-lifestyle/ginger-by-lifestyle-pink-bodycon-dress/18499780/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18499780/2022/5/29/7bfb282d-2c07-4846-885e-454ddad5552e1653764772534GingerbyLifestylePinkDressesNylon1.jpg",dresses,ginger-by-lifestyle,0,0
Women Floral Embroidered Georgette Kurta,Soch,0,0,2998,2248,"S,M,L,XL,XXL",kurtas/soch/soch-women-blue--white-floral-embroidered-georgette-kurta/16471060/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16471060/2021/12/11/e0070225-afdd-4a9b-94bf-63c87e764ce11639197065606SochWomenBlueGeometricKeyholeNeckChikankariGeorgetteKurta1.jpg",kurtas,soch,750,25
Men Striped Chinos,Tommy Hilfiger,4.6,5,6999,4899,"30,32,34,36,38",trousers/tommy-hilfiger/tommy-hilfiger-men-olive-green-striped-chinos/14590536/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/14590536/2022/3/17/3787535e-a0d2-4b66-88b5-dee5ffd90b611647500161388-Tommy-Hilfiger-Men-Trousers-3931647500160810-1.jpg",trousers,tommy-hilfiger,2100,30
Solid Turtle Neck Crop Top,Friskers,4.3,26,869,477,"XS,S,M,L,XL",tops/friskers/friskers-black-solid-turtle-neck-crop-fitted-top/17570088/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17570088/2022/3/17/b7562c37-c926-4c40-afc0-25a5809e2c441647522725943FriskersBlackTop1.jpg",tops,friskers,392,45
Camouflage Print Cotton Shirt,Roadster,3.3,8,1899,664,"38,40,42,44",shirts/roadster/roadster-men-olive-green-camouflage-print-pure-cotton-casual-shirt/14878240/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/14878240/2022/1/21/650d5c72-b685-4ae0-bbab-e5880fcb63871642748204160-Roadster-Men-Shirts-1571642748203491-1.jpg",shirts,roadster,1235,65
Men Pure Cotton Casual Shirt,Louis Philippe Jeans,0,0,2799,2379,"39,40,42",shirts/louis-philippe-jeans/louis-philippe-jeans-men-green-slim-fit-checked-pure-cotton-casual-shirt/17578750/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17578750/2022/4/26/9edc1ed3-291b-44f5-9bb5-fe92b7b5ba4c1650954903479-Louis-Philippe-Jeans-Men-Shirts-4171650954902928-1.jpg",shirts,louis-philippe-jeans,420,15
Crop Tailored Jacket,SASSAFRAS,4.7,18,2999,899,"XS,S,M,L,XL,XXL",jackets/sassafras/sassafras-women-silver-toned-crop-tailored-jacket/15790672/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15790672/2021/10/27/70f17b6e-befe-40b8-bd90-3dd79ec75f1c1635339193465IndoEraPinkWovenStraightKurtaSareesSharaaETHNICAWomenSareesS1.jpg",jackets,sassafras,2100,70
Textured Box Clutch,Lavie,4.5,12,1999,1199,L,clutches/lavie/lavie-red-textured-box-clutch/17496982/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17496982/2022/3/12/df99f86a-1957-49a8-aa10-36fdae7744441647081135273LavieWomenRedClutches1.jpg",clutches,lavie,800,40
Printed A-Line Kurta & Jacket,Vishudh,4.3,101,3999,1879,"S,M,L,XL,XXL",kurtas/vishudh/vishudh-women-yellow--off-white-ethnic-motifs-printed-a-line-kurta-with-jacket/15639862/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15639862/2021/9/27/99ed8ec1-c079-481d-bbf7-846b2c6747621632735846100VishudhWomenYellowEthnicMotifsPrintedKeyholeNeckAnarkaliKurt6.jpg",kurtas,vishudh,2120,53
Men Driving Shoes,Fentacia,4.3,77,4499,944,"UK6,UK7,UK8,UK9,UK10,UK11",casual-shoes/fentacia/fentacia-men-brown-driving-shoes/15460910/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15460910/2021/9/15/a3ce06a1-823f-4922-9709-b9c02e200f541631695764041FentaciaMenBrownLoafers1.jpg",casual-shoes,fentacia,3555,79
Women High-Rise Belted Jeans,URBANIC,4.4,42,1990,995,"24,26,28,30",jeans/urbanic/urbanic-women-blue-high-rise-belted--jeans/16262952/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16262952/2022/1/19/565c6635-95b6-43dd-ab80-c5c7f6482f651642566659501-URBANIC-Women-Jeans-8511642566658679-1.jpg",jeans,urbanic,995,50
Men Slim Fit Chino Shorts,United Colors of Benetton,0,0,1999,1399,"28,30,32,34,36,38,40",shorts/united-colors-of-benetton/united-colors-of-benetton-men-grey-solid-slim-fit-chino-shorts/17784070/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17784070/2022/5/20/484bd8c5-7695-4f4c-ac17-59e3f22361b41653018291547-United-Colors-of-Benetton-Men-Teal-Slim-Fit-Chino-Shorts-923-1.jpg",shorts,united-colors-of-benetton,600,30
